name,description,location,latitude,longitude,call_number,photo_url
"클럽FF","source:kakao keyword export","서울 마포구 와우산로17길 12",37.5502708801726,126.922309605428,"",
"어썸레드","source:kakao keyword export","서울 마포구 잔다리로 12",37.55093641341638,126.92184832692499,"",
"어썸","source:kakao keyword export","서울 마포구 잔다리로 8",37.5508799336703,126.92227728665,"",
"B1 홍대","source:kakao keyword export","서울 마포구 와우산로17길 6",37.5502494954226,126.922674020445,"",
"클럽아우라","source:kakao keyword export","서울 마포구 와우산로21길 37",37.5522779648155,126.921796000265,"010-6667-6460",
"클럽 버뮤다","source:kakao keyword export","서울 마포구 와우산로 70",37.5506995087307,126.923310680981,"0503-7152-2592",
"클럽오션","source:kakao keyword export","서울 마포구 잔다리로 6",37.5508882092337,126.922530770877,"010-2746-3180",
"클럽퍼플","source:kakao keyword export","서울 마포구 와우산로17길 25",37.550068481672774,126.92144070678475,"",
"메이드","source:kakao keyword export","서울 마포구 잔다리로 5",37.5505304805297,126.922481348137,"",
"인클","source:kakao keyword export","서울 마포구 잔다리로 11",37.5505913006474,126.921802289213,"",
"레이저","source:kakao keyword export","서울 마포구 와우산로17길 18",37.5503724892258,126.922000557716,"010-5896-4586",
"빅팀","source:kakao keyword export","서울 마포구 와우산로 53",37.5492549050057,126.92284479387,"",
"라로사","source:kakao keyword export","서울 마포구 와우산로21길 28",37.5524341839576,126.92232094015,"",
"싱크홀 홍대점","source:kakao keyword export","서울 마포구 잔다리로 10",37.5509085984606,126.922023763994,"",
"헨즈클럽","source:kakao keyword export","서울 마포구 와우산로 64",37.55012645955772,126.92328863505837,"",
"클럽AOR","source:kakao keyword export","서울 마포구 서교동 326-11",37.5552636911576,126.930130339354,"",
"몽스","source:kakao keyword export","서울 마포구 와우산로17길 14",37.550352759891,126.922140903654,"",
"도즈서울","source:kakao keyword export","서울 마포구 잔다리로 7",37.55058255827296,126.9222074325401,"",
"엔비2","source:kakao keyword export","서울 마포구 와우산로 72",37.55086714129896,126.92338293572418,"",
"사보타지","source:kakao keyword export","서울 마포구 와우산로17길 22",37.55027594924282,126.92179922370765,"0502-5552-2568",
"클럽엑스엑스 2호점","source:kakao keyword export","서울 마포구 와우산로17길 10",37.5502836428384,126.922535923229,"",
"재머스","source:kakao keyword export","서울 마포구 와우산로 120",37.5531281205314,126.926815325412,"",
"모데시","source:kakao keyword export","서울 마포구 와우산로 64",37.5502210547517,126.923273826605,"",
"케이크팝","source:kakao keyword export","서울 마포구 와우산로21길 31",37.5522880717922,126.922092491317,"010-6768-6665",
"매드홀릭2","source:kakao keyword export","서울 마포구 잔다리로 19-6",37.5504645306635,126.920856355595,"",
"브라운","source:kakao keyword export","서울 마포구 양화로6길 21",37.5491777638406,126.915453010724,"02-3141-2330",
"뉴플로우","source:kakao keyword export","서울 마포구 와우산로21길 19-12",37.5519361434484,126.922642854236,"",
"퍼시픽","source:kakao keyword export","서울 마포구 잔다리로 6",37.5508882092337,126.922530770877,"010-8831-3753",
"클럽레몬","source:kakao keyword export","서울 마포구 와우산로 77",37.5513669910895,126.923068951013,"",
"37.2클럽","source:kakao keyword export","서울 마포구 양화로 128",37.5543497293279,126.920999370249,"",
"신촌클럽","source:kakao keyword export","서울 서대문구 연세로5다길 16",37.5565816930334,126.934573493148,"",
"허슬","source:kakao keyword export","서울 마포구 와우산로 73",37.5510191677003,126.92301046187,"",
"ATM","source:kakao keyword export","서울 마포구 와우산로 79",37.5515382248236,126.923136675462,"",
"애드 서울","source:kakao keyword export","서울 마포구 잔다리로 3",37.55059189672905,126.92270761651031,"",
"이십오","source:kakao keyword export","서울 마포구 와우산로17길 5",37.5500638624765,126.922632341099,"",
"모도라운지","source:kakao keyword export","서울 마포구 와우산로21길 20-5",37.5526353351489,126.922669292142,"",
"소버","source:kakao keyword export","서울 마포구 어울마당로 42",37.5487444562727,126.920754064146,"010-2409-4196",
"클럽웨티","source:kakao keyword export","서울 마포구 잔다리로 6",37.5509233481303,126.922530734508,"",
"캐치라이트","source:kakao keyword export","서울 마포구 와우산로21길 31",37.5522601602864,126.922121944184,"",
"클럽샤프","source:kakao keyword export","서울 마포구 동교로 63",37.5536060770259,126.909259843194,"",
"틴팬유로","source:kakao keyword export","서울 마포구 잔다리로 3",37.5505197754296,126.922644318092,"",
"벨류","source:kakao keyword export","서울 마포구 잔다리로 6",37.5508882092337,126.922530770877,"010-5208-5319",
"HMV","source:kakao keyword export","서울 마포구 잔다리로 20",37.5509474531904,126.920837738313,"",
"아우라2","source:kakao keyword export","서울 마포구 잔다리로 14",37.5509552016121,126.921648002534,"",
"에이스","source:kakao keyword export","서울 마포구 잔다리로 3",37.550532398285,126.922657884955,"",
"코너펍","source:kakao keyword export","서울 마포구 와우산로19길 16",37.5513412413991,126.922272280933,"02-338-5225",
"웨일홀덤펍","source:kakao keyword export","서울 마포구 월드컵북로2길 91",37.5586435918118,126.924691236012,"010-3358-3708",
"몬스터치즈떡볶이펍","source:kakao keyword export","서울 마포구 와우산로29길 59",37.55595364516632,126.92680916703176,"02-332-2245",
"럭키데이즈 홀덤펍","source:kakao keyword export","서울 마포구 와우산로29바길 11-3",37.5557965471516,126.926287589172,"010-7987-0111",
"제이케이펍","source:kakao keyword export","서울 마포구 어울마당로5길 46",37.5499365434956,126.918208852937,"010-3057-7305",
"웨일펍","source:kakao keyword export","서울 마포구 독막로 72",37.5475997175569,126.921398033145,"",
"샤크펍","source:kakao keyword export","서울 마포구 와우산로21길 19-7",37.551988598128,126.922943827172,"",
"서울펍","source:kakao keyword export","서울 마포구 와우산로 73",37.5510173657116,126.923010463723,"010-3854-1107",
"이노호스텔&펍라운지 홍대점","source:kakao keyword export","서울 마포구 월드컵로8길 37-7",37.5536818850987,126.914248313722,"070-7543-8225",
"캐슬에이 홀덤펍","source:kakao keyword export","서울 마포구 와우산로21길 19-11",37.5518624511108,126.922932640254,"",
"펍그린당구클럽","source:kakao keyword export","서울 마포구 잔다리로 12",37.55089588275823,126.92186987087007,"0507-1385-0122",
"펍오두막","source:kakao keyword export","서울 서대문구 연세로11길 29",37.558852541832,126.935182671464,"",
"다트펍","source:kakao keyword export","서울 마포구 와우산로21길 10",37.5525547087121,126.923380076506,"",
"컨벤트펍","source:kakao keyword export","서울 마포구 와우산로17길 19-22",37.5493800350603,126.921314685479,"",
"갤러리펍제이","source:kakao keyword export","서울 마포구 와우산로 133",37.5538082994801,126.928161393478,"",
"어반스페이스드로잉카페앤펍","source:kakao keyword export","서울 마포구 와우산로25길 7",37.5536411044186,126.925877771186,"",
"코너펍2","source:kakao keyword export","서울 마포구 와우산로21길 19-7",37.5520012364567,126.92298115964,"",
"코너펍라운지","source:kakao keyword export","서울 마포구 와우산로21길 19-7",37.5519976302527,126.922977768308,"",
"플레이어스 홀덤펍","source:kakao keyword export","서울 마포구 어울마당로 55-8",37.5503093569368,126.920555499278,"",
"스포츠펍 비어필드 홍대","source:kakao keyword export","서울 마포구 어울마당로 60",37.5504063361844,126.921410929101,"0503-7152-6245",
"예나스펍","source:kakao keyword export","서울 마포구 어울마당로 60",37.5503946051426,126.921383781652,"",
"더블업홀덤펍","source:kakao keyword export","서울 서대문구 연세로9길 16",37.5586168577257,126.935873262238,"",
"ABC피자&펍","source:kakao keyword export","서울 마포구 와우산로17길 25",37.5500774916426,126.921440697329,"",
"ES홀덤펍 홍대점","source:kakao keyword export","서울 마포구 홍익로5안길 16",37.5539051289516,126.921738846195,"",
"더펍(Thepub)","source:kakao keyword export","서울 마포구 와우산로 65",37.5504108931692,126.922856050511,"",
"쿠시무라펍앤키친","source:kakao keyword export","서울 마포구 독막로6길 5",37.547693614188,126.91771339265,"02-6958-5454",
"펍프리바다727","source:kakao keyword export","서울 마포구 양화로6길 38",37.5487891070137,126.916259172123,"",
"네오치킨&펍","source:kakao keyword export","서울 마포구 창전로 37",37.5459051378214,126.931869274561,"02-714-5550",
"펍스테이션","source:kakao keyword export","서울 마포구 양화로 81",37.55202579248017,126.91668332647842,"010-3125-2016",
"레일로드펍","source:kakao keyword export","서울 마포구 와우산로32길 24",37.5546338526835,126.931598769618,"",
"404꼬치펍","source:kakao keyword export","서울 마포구 독막로7길 48",37.5499125175426,126.919962936078,"",
"미믹홀덤펍 홍대점","source:kakao keyword export","서울 마포구 잔다리로3안길 31",37.5502167292784,126.919483921054,"",
"다트펍 신촌상회","source:kakao keyword export","서울 서대문구 연세로7길 18",37.557789740335,126.935869443988,"010-9404-1703",
"쉬바펍","source:kakao keyword export","서울 서대문구 연세로 42-24",37.5592434967148,126.938403409488,"",
"에이시스홀덤펍","source:kakao keyword export","서울 서대문구 연세로7안길 10-5",37.5583377241281,126.936197189711,"010-9678-3605",
"스팀펑크락 라이브펍","source:kakao keyword export","서울 서대문구 연세로9길 13",37.5584520858105,126.93607712364,"0503-7150-2893",
"TX홀덤펍","source:kakao keyword export","서울 서대문구 연세로5다길 8",37.5564504435283,126.935110056722,"",
"헤즈업 홀덤펍 신촌점","source:kakao keyword export","서울 서대문구 연세로7길 14",37.5577853347887,126.936052794304,"010-9497-3083",
"뉴욕11번가 스트리트펍&치킨클럽","source:kakao keyword export","서울 서대문구 연세로11길 35",37.5588667171427,126.934745790129,"02-337-9572",
"오로라펍앤포차","source:kakao keyword export","서울 서대문구 연세로7안길 7",37.5580268784433,126.936194059438,"",
